manuscript_id,title,content_snippet,era,estimated_year,region,word_count,preservation_state,concept_category,analysis_priority
TCWIN_MS_064,Sanskrit Text 64,सर्वे भवन्तु सुखिनः सर्वे सन्तु निरामयाः,Epic,-500,North,3843,Excellent,Sangita,Medium
TCWIN_MS_065,Sanskrit Text 65,सत्यमेव जयते,Colonial,1777,East,3647,Good,Moksha,Medium
TCWIN_MS_066,Sanskrit Text 66,योगश्चित्तवृत्तिनिरोधः,Colonial,1585,Central,4545,Poor,Ayurveda,Medium
TCWIN_MS_067,Sanskrit Text 67,अहिंसा परमो धर्मः,Vedic,-1407,Central,3459,Good,Vedanta,High
TCWIN_MS_068,Sanskrit Text 68,अहिंसा परमो धर्मः,Colonial,1538,North,2257,Excellent,Sangita,Low
TCWIN_MS_069,Sanskrit Text 69,सत्यमेव जयते,Epic,-491,West,3349,Poor,Vedanta,Medium
TCWIN_MS_070,Sanskrit Text 70,सर्वे भवन्तु सुखिनः सर्वे सन्तु निरामयाः,Epic,-354,North,1515,Excellent,Yoga,Medium
TCWIN_MS_071,Sanskrit Text 71,अहिंसा परमो धर्मः,Epic,-4,East,1351,Poor,Karma,Medium
TCWIN_MS_072,Sanskrit Text 72,योगश्चित्तवृत्तिनिरोधः,Classical,379,North,3238,Fair,Ayurveda,High
TCWIN_MS_073,Sanskrit Text 73,योगश्चित्तवृत्तिनिरोधः,Medieval,1322,North,4413,Fair,Karma,High
TCWIN_MS_074,Sanskrit Text 74,वसुधैव कुटुम्बकम्,Colonial,1741,North,4685,Poor,Vedanta,Medium
TCWIN_MS_075,Sanskrit Text 75,सर्वे भवन्तु सुखिनः सर्वे सन्तु निरामयाः,Epic,-411,East,1116,Fair,Yoga,High
TCWIN_MS_076,Sanskrit Text 76,सत्यमेव जयते,Epic,-387,East,912,Poor,Yoga,Medium
TCWIN_MS_077,Sanskrit Text 77,सत्यमेव जयते,Vedic,-1224,North,1175,Good,Ayurveda,High
TCWIN_MS_078,Sanskrit Text 78,वसुधैव कुटुम्बकम्,Vedic,-581,North,1622,Poor,Yoga,Medium
TCWIN_MS_079,Sanskrit Text 79,सत्यमेव जयते,Epic,-4,West,3940,Fair,Sangita,High
TCWIN_MS_080,Sanskrit Text 80,योगश्चित्तवृत्तिनिरोधः,Vedic,-634,North,4452,Good,Yoga,Medium
TCWIN_MS_081,Sanskrit Text 81,सत्यमेव जयते,Vedic,-1159,East,895,Excellent,Tantra,Medium
TCWIN_MS_082,Sanskrit Text 82,योगश्चित्तवृत्तिनिरोधः,Classical,75,West,1217,Fair,Yoga,High
TCWIN_MS_083,Sanskrit Text 83,सत्यमेव जयते,Classical,505,Central,4991,Excellent,Yoga,Medium
TCWIN_MS_084,Sanskrit Text 84,अहिंसा परमो धर्मः,Classical,468,Central,3722,Poor,Tantra,Medium
TCWIN_MS_085,Sanskrit Text 85,सर्वे भवन्तु सुखिनः सर्वे सन्तु निरामयाः,Colonial,1680,South,3482,Good,Vedanta,Medium
TCWIN_MS_086,Sanskrit Text 86,सत्यमेव जयते,Colonial,1662,East,1453,Poor,Dharma,Low
TCWIN_MS_087,Sanskrit Text 87,सत्यमेव जयते,Colonial,1729,South,3493,Fair,Vedanta,Medium
TCWIN_MS_088,Sanskrit Text 88,सत्यमेव जयते,Epic,-496,Central,2886,Poor,Dharma,High
TCWIN_MS_089,Sanskrit Text 89,योगश्चित्तवृत्तिनिरोधः,Modern,1963,Central,1655,Poor,Natya,High
TCWIN_MS_090,Sanskrit Text 90,वसुधैव कुटुम्बकम्,Medieval,1414,Central,3423,Good,Sangita,High
TCWIN_MS_091,Sanskrit Text 91,सर्वे भवन्तु सुखिनः सर्वे सन्तु निरामयाः,Classical,713,East,4634,Good,Moksha,Medium
TCWIN_MS_092,Sanskrit Text 92,सर्वे भवन्तु सुखिनः सर्वे सन्तु निरामयाः,Colonial,1640,West,4209,Good,Yoga,High
TCWIN_MS_093,Sanskrit Text 93,सत्यमेव जयते,Medieval,1455,North,2458,Excellent,Moksha,Medium
TCWIN_MS_094,Sanskrit Text 94,योगश्चित्तवृत्तिनिरोधः,Colonial,1847,West,3940,Excellent,Vastu,Medium
TCWIN_MS_095,Sanskrit Text 95,सत्यमेव जयते,Vedic,-567,South,4127,Excellent,Ayurveda,Medium
TCWIN_MS_096,Sanskrit Text 96,अहिंसा परमो धर्मः,Modern,2021,Central,1750,Fair,Yoga,Medium
TCWIN_MS_097,Sanskrit Text 97,योगश्चित्तवृत्तिनिरोधः,Vedic,-1099,North,3986,Excellent,Ayurveda,High
TCWIN_MS_098,Sanskrit Text 98,योगश्चित्तवृत्तिनिरोधः,Modern,1949,East,1853,Poor,Vastu,High
TCWIN_MS_099,Sanskrit Text 99,अहिंसा परमो धर्मः,Modern,2022,Central,1645,Poor,Yoga,Medium
TCWIN_MS_100,Sanskrit Text 100,सर्वे भवन्तु सुखिनः सर्वे सन्तु निरामयाः,Epic,-365,West,1039,Poor,Ayurveda,Medium
